"","Order","Suborders","Superfamily","Family","OTOL node ID","GenbankTaxonID","GenBank ""Taxonomy""  value (# species in genbank taxonomy)","GenBank ""sp."" (# sp. listed in genbank taxonomy)","GenBank ""spp.""","CoL (or other) number of Species descibed (not # estimated to be known to taxonomists)","% of species in NCBI sequenced","X12","X13","X14","X15","taxon"
"474","Hexapoda: Diptera","Brachycera: Asilomorpha","Asiloidea","Apioceridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Apioceridae"
"475","Hexapoda: Diptera","Brachycera: Asilomorpha",NA,"Apystomyiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Apystomyiidae"
"476","Hexapoda: Diptera","Brachycera: Asilomorpha","Asiloidea","Asilidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Asilidae"
"477","Hexapoda: Diptera","Brachycera: Asilomorpha","Asiloidea","Bombyliidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Bombyliidae"
"478","Hexapoda: Diptera","Brachycera: Asilomorpha","Therevoidea","Evocoidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Evocoidae"
"479","Hexapoda: Diptera","Brachycera: Asilomorpha",NA,"Hilarimorphidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Hilarimorphidae"
"480","Hexapoda: Diptera","Brachycera: Asilomorpha","Asiloidea","Mydidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Mydidae"
"481","Hexapoda: Diptera","Brachycera: Asilomorpha","Nemestrinoidea","Nemestrinidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Nemestrinidae"
"482","Hexapoda: Diptera","Brachycera: Asilomorpha","Therevoidea","Scenopinidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Scenopinidae"
"483","Hexapoda: Diptera","Brachycera: Asilomorpha","Therevoidea","Apsilocephalidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Apsilocephalidae"
"484","Hexapoda: Diptera","Brachycera: Asilomorpha","Therevoidea","Therevidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Therevidae"
